Reference;Alpha_T;Alpha_TV
Aksoy and Guney (2010);2.40E-02;
Aksoy and Guney (2010);;6.00E-03
Benekos et al. (2006);5.52E-04;
Benekos et al. (2006);3.10E-04;
Benekos et al. (2006);3.50E-04;
Benekos et al. (2006);3.15E-04;
Benekos et al. (2006);1.30E-03;
Benekos et al. (2006);1.20E-03;
Benekos et al. (2006);3.03E-04;
Benekos et al. (2006);2.50E-04;
Benekos et al. (2006);2.74E-04;
Benekos et al. (2006);2.85E-04;
Benekos et al. (2006);2.90E-04;
Benekos et al. (2006);3.02E-04;
Benekos et al. (2006);3.09E-04;
Benekos et al. (2006);1.27E-03;
Benekos et al. (2006);1.39E-03;
Benekos et al. (2006);9.00E-04;
Cirpka et al., 2006;2.00E-04;
Cirpka et al., 2006;9.74E-06;
Cirpka et al., 2006;1.95E-05;
Cirpka et al., 2006;4.00E-05;
Cirpka et al., 2006;3.96E-05;
Eberhardt and Grathwohl(2002);;7.00E-05
Frippiat et al. (2008);5.11E-03;
Frippiat et al. (2008);3.63E-03;
Frippiat et al. (2008);1.76E-03;
Frippiat et al. (2008);2.70E-03;
Frippiat et al. (2008);2.03E-03;
Frippiat et al. (2008);3.16E-03;
Frippiat et al. (2008);2.09E-03;
Frippiat et al. (2008);2.12E-03;
Frippiat et al. (2008);1.60E-03;
Frippiat et al. (2008);1.43E-03;
Frippiat et al. (2008);2.48E-03;
Frippiat et al. (2008);3.59E-03;
Frippiat et al. (2008);7.50E-04;
Frippiat et al. (2008);1.10E-03;
Frippiat et al. (2008);9.50E-04;
Frippiat et al. (2008);8.70E-04;
Frippiat et al. (2008);1.07E-03;
Frippiat et al. (2008);1.27E-03;
Frippiat et al. (2008);1.11E-03;
Grane and Gardner (1961);1.70E-05;
Grane and Gardner (1961);2.20E-05;
Grane and Gardner (1961);3.05E-05;
Grane and Gardner (1961);4.25E-05;
Grane and Gardner (1961);6.00E-05;
Grane and Gardner (1961);5.00E-04;
Grane and Gardner (1961);1.02E-05;
Grane and Gardner (1961);1.27E-05;
Grane and Gardner (1961);1.32E-05;
Grane and Gardner (1961);1.80E-05;
Grane and Gardner (1961);3.00E-05;
Grane and Gardner (1961);4.25E-05;
Grane and Gardner (1961);6.00E-05;
Grane and Gardner (1961);1.20E-04;
Grane and Gardner (1961);5.88E-04;
Grane and Gardner (1961);6.00E-06;
Grane and Gardner (1961);8.00E-06;
Grane and Gardner (1961);1.15E-05;
Grane and Gardner (1961);2.20E-05;
Grane and Gardner (1961);1.00E-04;
Grane and Gardner (1961);6.00E-05;
Grane and Gardner (1961);5.10E-05;
Grane and Gardner (1961);4.40E-05;
Grane and Gardner (1961);3.90E-05;
Grane and Gardner (1961);3.70E-05;
Grane and Gardner (1961);3.70E-05;
Huang et al. (2003);5.00E-05;
Kim et al. 2004;4.50E-04;
Klenk and Grathwohl (2002);;2.51E-04
Klenk and Grathwohl (2002);;2.55E-04
Klenk and Grathwohl (2002);;2.53E-04
Klenk and Grathwohl (2002);;3.60E-04
Klenk and Grathwohl (2002);;4.11E-04
Klenk and Grathwohl (2002);;5.41E-04
Klenk and Grathwohl (2002);;6.49E-04
Klenk and Grathwohl (2002);;6.31E-04
Klenk and Grathwohl (2002);;6.10E-04
Olsson and Grathwohl (2007);6.30E-05;
Olsson and Grathwohl (2007);5.80E-05;
Olsson and Grathwohl (2007);3.20E-05;
Olsson and Grathwohl (2007);1.80E-05;
Olsson and Grathwohl (2007);2.40E-05;
Olsson and Grathwohl (2007);1.10E-04;
Olsson and Grathwohl (2007);8.10E-04;
Olsson and Grathwohl (2007);5.30E-05;
Olsson and Grathwohl (2007);3.30E-05;
Olsson and Grathwohl (2007);3.30E-05;
Olsson and Grathwohl (2007);2.90E-05;
Olsson and Grathwohl (2007);2.00E-04;
Olsson and Grathwohl (2007);1.10E-04;
Olsson and Grathwohl (2007);1.10E-04;
Olsson and Grathwohl (2007);7.90E-05;
Olsson and Grathwohl (2007);5.30E-05;
Olsson and Grathwohl (2007);5.30E-05;
Olsson and Grathwohl (2007);5.30E-05;
Olsson and Grathwohl (2007);5.10E-05;
Olsson and Grathwohl (2007);4.30E-05;
Olsson and Grathwohl (2007);4.60E-05;
Olsson and Grathwohl (2007);4.10E-05;
Olsson and Grathwohl (2007);4.00E-05;
Olsson and Grathwohl (2007);3.90E-05;
Olsson and Grathwohl (2007);1.40E-04;
Olsson and Grathwohl (2007);3.00E-04;
Olsson and Grathwohl (2007);1.20E-04;
Olsson and Grathwohl (2007);7.70E-05;
Olsson and Grathwohl (2007);5.40E-05;
Olsson and Grathwohl (2007);6.30E-05;
Olsson and Grathwohl (2007);3.80E-05;
Olsson and Grathwohl (2007);3.20E-05;
Olsson and Grathwohl (2007);2.00E-05;
Olsson and Grathwohl (2007);1.80E-05;
Olsson and Grathwohl (2007);1.60E-05;
Olsson and Grathwohl (2007);9.60E-05;
Olsson and Grathwohl (2007);6.70E-05;
Olsson and Grathwohl (2007);6.60E-05;
Olsson and Grathwohl (2007);5.40E-05;
Olsson and Grathwohl (2007);3.80E-05;
Olsson and Grathwohl (2007);2.02E-04;
Olsson and Grathwohl (2007);2.22E-04;
Olsson and Grathwohl (2007);1.21E-04;
Olsson and Grathwohl (2007);8.80E-05;
Olsson and Grathwohl (2007);6.60E-05;
Olsson and Grathwohl (2007);3.80E-05;
Olsson and Grathwohl (2007);3.40E-05;
Olsson and Grathwohl (2007);2.40E-05;
Olsson and Grathwohl (2007);5.40E-05;
Olsson and Grathwohl (2007);6.20E-05;
Olsson and Grathwohl (2007);1.60E-05;
Olsson and Grathwohl (2007);3.50E-05;
Olsson and Grathwohl (2007);4.50E-05;
Olsson and Grathwohl (2007);7.10E-05;
Olsson and Grathwohl (2007);3.90E-05;
Olsson and Grathwohl (2007);2.10E-05;
Olsson and Grathwohl (2007);1.90E-05;
Olsson and Grathwohl (2007);1.40E-05;
Rahman et al. (2005);;6.00E-05
Rahman et al. (2005);;5.00E-05
Rolle et al. (2009);5.10E-05;
Rolle et al. (2009);1.40E-05;
Seagren et al. (1999);4.20E-05;
Seagren et al. (1999);3.10E-05;
"Szecsody et al. (1994)
";1.70E-04;
"Szecsody et al. (1994)
";2.70E-04;
"Szecsody et al. (1994)
";6.30E-04;
"Szecsody et al. (1994)
";1.00E-05;
"Szecsody et al. (1994)
";2.10E-05;
"Szecsody et al. (1994)
";4.00E-05;
